target_multiplier,stop_loss_level,fixed_stop_pips,total_trades,win_rate,total_pips,avg_win,avg_loss,risk_reward,score
0.5,fixed_pips,20,894,62.52796420581655,994.5499999999998,13.013327370304125,-18.74597014925375,0.694193326175875,628.8138012707072
0.5,fixed_pips,15,894,56.711409395973156,961.5999999997982,13.032741617357011,-14.58914728682224,0.8933175710090292,554.2700884616537
0.5,range_opposite,25,894,66.2192393736018,780.1500000000673,13.284881756756779,-23.458609271522995,0.5663115661713005,522.272511634912
0.5,range_opposite,15,894,66.2192393736018,780.1500000000673,13.284881756756779,-23.458609271522995,0.5663115661713005,522.272511634912
0.5,range_opposite,30,894,66.2192393736018,780.1500000000673,13.284881756756779,-23.458609271522995,0.5663115661713005,522.272511634912
0.5,range_opposite,20,894,66.2192393736018,780.1500000000673,13.284881756756779,-23.458609271522995,0.5663115661713005,522.272511634912
0.5,range_opposite,10,894,66.2192393736018,780.1500000000673,13.284881756756779,-23.458609271522995,0.5663115661713005,522.272511634912
0.5,fixed_pips,25,894,65.32438478747203,788.1500000001573,13.091010273972616,-22.119354838709196,0.5918350860334839,520.7724895628984
0.5,fixed_pips,30,894,67.4496644295302,729.3000000002412,13.071144278606974,-24.57938144329816,0.5317930521872822,497.22833320659925
0.3,fixed_pips,20,894,73.04250559284117,544.8199999999892,7.982725880551296,-19.368879668049825,0.41214184905693335,402.07159746147875
0.5,range_mid,25,894,53.24384787472036,722.2500000000432,13.717752100840366,-13.89330143540663,0.9873644622638876,394.42733589782966
0.5,range_mid,30,894,53.24384787472036,722.2500000000432,13.717752100840366,-13.89330143540663,0.9873644622638876,394.42733589782966
0.5,range_mid,15,894,53.24384787472036,722.2500000000432,13.717752100840366,-13.89330143540663,0.9873644622638876,394.42733589782966
0.5,range_mid,10,894,53.24384787472036,722.2500000000432,13.717752100840366,-13.89330143540663,0.9873644622638876,394.42733589782966
0.5,range_mid,20,894,53.24384787472036,722.2500000000432,13.717752100840366,-13.89330143540663,0.9873644622638876,394.42733589782966
0.3,fixed_pips,15,894,67.89709172259508,560.6799999998468,7.936375617792421,-14.831707317073702,0.5350952151446762,386.03636602158883
0.75,fixed_pips,15,894,46.42058165548099,763.3749999997308,18.43680722891561,-14.379749478079848,1.2821368868087895,367.1844840804909
1.25,fixed_pips,15,894,37.58389261744966,840.5999999997161,26.214880952380966,-14.278853046595497,1.8359234363457066,334.2894357056323
2.0,fixed_pips,20,894,40.044742729306485,761.0000000000227,29.086592178771035,-18.00746268656718,1.615252114361921,320.89301331365067
1.0,fixed_pips,15,894,40.604026845637584,730.4999999997128,22.886776859504096,-14.270056497175656,1.6038322528038953,312.65073863530495
0.75,fixed_pips,20,894,51.90156599552572,568.6499999999799,18.235021551724113,-18.354418604651187,0.9934949150120823,305.0732041836674
1.25,fixed_pips,20,894,43.17673378076063,653.5000000000102,25.517616580310936,-18.102952755905534,1.4095831174274371,296.2557864315495
0.3,range_opposite,25,894,76.7337807606264,364.48000000002713,8.15857142857142,-25.1552884615383,0.3243282795602061,282.922566911954
0.3,range_opposite,30,894,76.7337807606264,364.48000000002713,8.15857142857142,-25.1552884615383,0.3243282795602061,282.922566911954
0.3,range_opposite,10,894,76.7337807606264,364.48000000002713,8.15857142857142,-25.1552884615383,0.3243282795602061,282.922566911954
0.3,range_opposite,20,894,76.7337807606264,364.48000000002713,8.15857142857142,-25.1552884615383,0.3243282795602061,282.922566911954
0.3,range_opposite,15,894,76.7337807606264,364.48000000002713,8.15857142857142,-25.1552884615383,0.3243282795602061,282.922566911954
1.0,fixed_pips,20,894,46.19686800894854,514.5999999999864,22.311380145278452,-18.087318087318117,1.2335372241240135,250.06445501528304
1.5,fixed_pips,15,894,35.682326621923934,645.0499999997219,27.798275862069023,-14.300173913043992,1.943911733598754,249.60796521060863
2.0,fixed_pips,25,894,43.624161073825505,534.7000000002502,28.4428205128206,-20.94841269841227,1.3577554023926763,246.83594328578084
1.5,fixed_pips,20,894,41.61073825503356,555.9500000000207,26.85094086021514,-18.070114942528757,1.4859308280889985,246.1942076097577
2.0,fixed_pips,30,894,46.085011185682326,490.9000000003854,28.086165048543776,-22.988796680497202,1.2217327178490809,238.44864708918297
2.0,range_opposite,10,894,44.183445190156604,508.9000000001208,28.859746835443136,-21.825050100200233,1.3223221345630891,238.07277391839122
2.0,range_opposite,25,894,44.183445190156604,508.9000000001208,28.859746835443136,-21.825050100200233,1.3223221345630891,238.07277391839122
2.0,range_opposite,20,894,44.183445190156604,508.9000000001208,28.859746835443136,-21.825050100200233,1.3223221345630891,238.07277391839122
2.0,range_opposite,15,894,44.183445190156604,508.9000000001208,28.859746835443136,-21.825050100200233,1.3223221345630891,238.07277391839122
2.0,range_opposite,30,894,44.183445190156604,508.9000000001208,28.859746835443136,-21.825050100200233,1.3223221345630891,238.07277391839122
0.75,range_opposite,30,894,56.04026845637584,409.375000000064,18.592964071856276,-22.66081424936369,0.8204896729330176,237.61974572265467
0.75,range_opposite,10,894,56.04026845637584,409.375000000064,18.592964071856276,-22.66081424936369,0.8204896729330176,237.61974572265467
0.75,range_opposite,20,894,56.04026845637584,409.375000000064,18.592964071856276,-22.66081424936369,0.8204896729330176,237.61974572265467
0.75,range_opposite,25,894,56.04026845637584,409.375000000064,18.592964071856276,-22.66081424936369,0.8204896729330176,237.61974572265467
0.75,range_opposite,15,894,56.04026845637584,409.375000000064,18.592964071856276,-22.66081424936369,0.8204896729330176,237.61974572265467
