retracement_pct,risk_reward_ratio,max_wait_hours,total_trades,win_rate,total_pips,avg_win,avg_loss,calculated_rr,score
30,0.5,2,327,74.00611620795107,802.8650000000004,10.835392561983523,-21.40352941176485,0.5062432626661866,604.2940701462903
40,0.5,2,304,72.36842105263158,509.9400000000009,9.36545454545456,-18.45785714285717,0.5073966318500199,379.1834589527905
40,0.75,2,238,62.60504201680672,392.1000000000009,13.591812080536933,-18.34921348314609,0.740729955156995,260.2889688510396
30,0.5,6,644,68.01242236024845,353.4299999999834,11.181301369863034,-22.05815533980595,0.5069010167720307,250.5143246832554
30,0.5,4,585,68.03418803418803,316.714999999993,11.034409547738724,-21.79133689839583,0.5063668006780723,225.6018146460353
30,0.75,2,239,61.92468619246861,337.68000000001246,15.694662162162347,-21.81461538461555,0.7194562858637785,223.49640605201128
70,1.0,6,442,53.619909502262445,359.0699999999903,9.4564556962025,-9.181024390243914,1.0300000625476247,213.13301030072105
70,1.0,8,468,53.41880341880342,344.9099999999927,9.461159999999982,-9.267798165137627,1.0208638374959134,204.66407162170927
50,0.5,2,274,71.16788321167883,269.77499999999986,7.756282051282056,-15.730379746835458,0.49307659294381734,201.8546887931828
40,0.75,4,503,59.04572564612326,316.0200000000035,13.87272727272727,-18.466893203883476,0.7512215032363927,201.62073225160864
40,0.75,6,569,58.87521968365553,301.5599999999963,14.02065671641789,-18.783589743589722,0.7464311618711073,192.47273571545162
70,1.0,4,381,53.805774278215225,311.0699999999955,9.295024390243883,-9.05914772727273,1.026037401096909,187.89437006917987
60,0.5,4,454,69.16299559471366,246.10000000001685,6.250382165605154,-12.260857142857153,0.5097834590827492,180.40580134025697
60,0.5,6,513,68.81091617933723,246.14000000001357,6.315524079320163,-12.395250000000024,0.5095116338371675,179.56142176057335
60,0.5,8,536,68.47014925373134,225.0600000000158,6.332152588555912,-12.41917159763316,0.5098691598530365,164.2963011075193
30,0.5,8,672,67.41071428571429,228.199999999985,11.26412803532011,-22.257762557077744,0.5060763859994648,163.9527777199792
40,0.75,8,606,58.415841584158414,254.6549999999991,14.182754237288114,-18.912857142857114,0.7499001409548829,163.75686420523573
50,0.75,2,226,61.504424778761056,228.71249999999452,11.306924460431635,-15.43620689655176,0.7324937101586433,155.31818172529336
70,1.5,4,365,43.56164383561644,255.8099999999996,13.514716981132079,-9.18946601941748,1.4706748958617701,140.84853901312562
30,0.75,6,598,58.69565217391305,213.79749999998708,16.230876068376094,-22.199352226720734,0.731141877592241,140.11267450835896
40,1.0,6,543,52.117863720073665,229.86000000001167,18.116183745583076,-18.8346923076923,0.961851855588011,139.03515865872762
60,0.5,2,227,70.92511013215858,177.74000000000734,6.2669565217391545,-12.594545454545399,0.4975929099114408,136.0141489471327
70,0.75,6,453,58.94039735099338,188.68499999998733,7.086573033707834,-9.158225806451638,0.7737932197211823,126.68755313613804
60,0.75,4,434,59.21658986175116,187.47999999998757,9.227392996108929,-12.338757062146932,0.7478381290459877,125.97602525372346
70,1.5,6,426,42.95774647887324,213.76499999999578,13.638442622950805,-9.391234567901241,1.4522523662188467,120.8736740849385
70,1.25,4,375,47.199999999999996,187.3874999999992,11.353601694915257,-9.203030303030312,1.2336807900303033,113.12051580060566
70,1.5,8,454,42.731277533039645,185.74500000000162,13.696005154639192,-9.504923076923081,1.440938032196347,108.18997209767211
70,0.75,8,477,58.490566037735846,153.34499999999028,7.119516129032236,-9.257575757575776,0.7690475687661648,105.07330986588364
70,0.75,4,388,58.76288659793815,151.12499999998195,7.00953947368415,-9.044062500000027,0.7750432367848109,104.30627710681964
30,0.75,8,628,58.28025477707006,149.71249999998898,16.389897540983636,-22.324389312977182,0.7341700286267709,101.93622700565001
40,1.0,8,575,51.47826086956522,145.08000000002073,18.331216216216262,-18.928172043010726,0.9684620455985927,94.05390178154775
70,1.25,8,462,46.53679653679654,131.86499999999432,11.50220930232557,-9.478178137651833,1.2135464363803548,85.63667548085121
60,0.75,2,198,60.60606060606061,113.40000000000354,9.172000000000022,-12.656923076923066,0.7246626960009748,83.22052664729438
70,1.0,2,164,53.65853658536586,115.86000000000321,9.271704545454593,-9.211184210526326,1.0065703099129324,82.30018668606526
70,1.25,6,433,46.4203233256351,122.23499999999167,11.432462686567133,-9.377974137931044,1.21907594523281,81.1234011217424
60,1.0,4,413,51.57384987893463,115.87999999999155,12.083192488262886,-12.289200000000017,0.9832367028173412,79.42851129605191
50,0.75,4,472,58.26271186440678,110.66249999999832,11.449499999999993,-15.421065989847719,0.7424584012245093,79.32414154143837
70,0.5,4,394,67.76649746192894,100.8900000000101,4.680000000000036,-9.044645669291334,0.5174332053592458,78.71828339653186
50,1.25,8,530,45.84905660377358,101.58750000000103,18.889660493827165,-15.639721254355402,1.2078003301092537,70.73291697954403
40,0.5,4,547,66.91042047531994,89.60999999999666,9.455655737704904,-18.62519337016574,0.5076809432137864,70.11204665220768
70,0.5,2,189,69.31216931216932,85.02000000000675,4.723282442748152,-9.202241379310363,0.5132752172060635,69.1947106933323
50,1.25,6,493,45.84178498985801,92.35000000000443,18.755530973451368,-15.529588014981297,1.2077288177482894,66.48946479310169
70,0.5,6,460,67.3913043478261,80.8950000000086,4.728725806451643,-9.233400000000007,0.512132671220963,64.75884907659898
70,2.0,4,347,35.158501440922194,71.54999999997804,17.558852459016258,-9.202800000000025,1.907990226780568,63.31571231658347
70,2.0,8,440,35.22727272727273,69.2099999999818,17.93651612903217,-9.51210526315791,1.8856515600708832,62.093826655956704
