time,open,high,low,close,Zero Line,Sym1 Diff,Sym2 Diff,Sym3 Diff,EMA,EMA,Correlation
1085691600,1.6596,1.6596,1.6596,1.6596,0,NaN,0,0,NaN,NaN,NaN
1086037200,1.6596,1.6759,1.6596,1.66305,0,NaN,0,0,NaN,NaN,NaN
1086210000,1.66305,1.6664,1.65935,1.65935,0,NaN,0,0,NaN,NaN,NaN
1086555600,1.66165,1.66165,1.6557,1.6557,0,NaN,0,0,NaN,NaN,NaN
1086728400,1.6557,1.6557,1.6383,1.6468,0,NaN,0,0,NaN,NaN,NaN
1086901200,1.6468,1.6581,1.63705,1.6581,0,NaN,0,0,NaN,NaN,NaN
1087246800,1.6581,1.6644,1.6492,1.6492,0,NaN,0,0,NaN,NaN,NaN
1087419600,1.6492,1.65415,1.6492,1.65415,0,NaN,0,0,NaN,NaN,NaN
1087765200,1.65515,1.65515,1.6439,1.6439,0,NaN,0,0,NaN,NaN,NaN
1087938000,1.6439,1.6448,1.637,1.637,0,NaN,0,0,NaN,NaN,NaN
1088110800,1.637,1.64355,1.637,1.6433,0,NaN,0,0,NaN,NaN,NaN
1088456400,1.6433,1.6433,1.6243,1.62585,0,NaN,0,0,NaN,NaN,NaN
1088629200,1.62585,1.63065,1.6206,1.63065,0,NaN,0,0,NaN,NaN,NaN
1088974800,1.63115,1.6313,1.62975,1.6313,0,NaN,0,0,NaN,NaN,NaN
1089147600,1.6313,1.6335,1.6313,1.6327,0,NaN,0,0,NaN,NaN,NaN
1089320400,1.6327,1.63625,1.6327,1.6349,0,NaN,0,0,NaN,NaN,NaN
1089666000,1.6349,1.6372,1.6254,1.6372,0,NaN,0,0,NaN,NaN,NaN
1089838800,1.6372,1.6372,1.63285,1.63285,0,NaN,0,0,NaN,NaN,NaN
1090184400,1.62945,1.62945,1.6199,1.6199,0,NaN,0,0,NaN,NaN,NaN
1090357200,1.6199,1.62,1.61465,1.61465,0,NaN,0,0,NaN,NaN,0.07004355996709173
1090530000,1.61465,1.6185,1.59725,1.6185,0,NaN,0,0,NaN,NaN,-0.15111306895973162
1090875600,1.6185,1.6185,1.6016,1.6016,0,NaN,0,0,NaN,NaN,0.09068304589284736
1091048400,1.6016,1.6016,1.59555,1.60015,0,NaN,0,0,NaN,NaN,0.25347474383579743
1091394000,1.601,1.60235,1.58905,1.58905,0,NaN,0,0,NaN,NaN,0.3819041967525379
1091566800,1.58905,1.58945,1.5859,1.58945,0,NaN,0,0,NaN,NaN,0.47385530339970017
1091739600,1.58945,1.61705,1.58945,1.61705,0,NaN,0,0,NaN,1.6317163725490198,0.48797704991927104
1092085200,1.61705,1.61875,1.6162,1.61875,0,NaN,0,0,NaN,1.6306232643176457,0.47545512310078064
1092258000,1.61875,1.63115,1.61875,1.62015,0,NaN,0,0,NaN,1.6302323943201336,0.5679509203716421
1092603600,1.61935,1.61935,1.61545,1.61555,0,NaN,0,0,NaN,1.629099645814164,0.691401193728924
1092776400,1.61555,1.61555,1.6039,1.6039,0,NaN,0,0,NaN,1.6273352747404104,0.724191414766231
1092949200,1.6039,1.6039,1.5875,1.5875,0,NaN,0,0,NaN,1.624714915283247,0.784521572750761
1093294800,1.5875,1.5875,1.5766,1.5766,0,NaN,0,0,NaN,1.6210980821203675,0.8891182857471092
1093467600,1.5766,1.58235,1.5766,1.57735,0,NaN,0,0,NaN,1.6179225279396394,0.9155089521529695
1093813200,1.57815,1.5991,1.57815,1.5991,0,NaN,0,0,NaN,1.6160532062987596,0.9090569977943526
1093986000,1.5991,1.5991,1.5821,1.5821,0,NaN,0,0,NaN,1.6138757202319576,0.8991943394888217
1094158800,1.5821,1.5821,1.5665,1.5665,0,NaN,0,0,NaN,1.6102912357850558,0.906843791897412
1094504400,1.5665,1.5717,1.5585,1.5717,0,NaN,0,0,NaN,1.6068264733256128,0.9042131166510667
1094677200,1.5717,1.58375,1.5717,1.58375,0,NaN,0,0,NaN,1.6046771481948467,0.8652468425709979
1095022800,1.58385,1.5958,1.58385,1.5848,0,NaN,0,0,NaN,1.6035631806289226,0.8522677830452644
1095195600,1.5848,1.5848,1.5723,1.5723,0,NaN,0,0,NaN,1.6012647430565332,0.8578182496820286
1095368400,1.5723,1.58135,1.5723,1.5762,0,NaN,0,0,NaN,1.5995314679272343,0.8500766497188941
1095714000,1.5762,1.5881,1.5729,1.5729,0,NaN,0,0,NaN,1.5980563838882313,0.8559567553718648
1095886800,1.5729,1.5729,1.56395,1.56395,0,NaN,0,0,NaN,1.5956768464881368,0.8458398116837391
1096232400,1.56625,1.5676,1.5644,1.5676,0,NaN,0,0,NaN,1.5933973504106176,0.8485845643400954
1096405200,1.5676,1.5683,1.5672,1.5683,0,NaN,0,0,NaN,1.5914260816362524,0.8335725418760335
1096578000,1.5683,1.5683,1.5627,1.5627,0,NaN,0,0,NaN,1.58934345329052,0.7778096481354723
1096923600,1.5627,1.5627,1.5468,1.5468,0,NaN,0,0,NaN,1.5863019728375771,0.6780125633139295
1097096400,1.5468,1.55325,1.5468,1.55325,0,NaN,0,0,NaN,1.5835890568177713,0.5263660516171514
1097442000,1.55365,1.5549,1.5475,1.5475,0,NaN,0,0,NaN,1.5810928586772275,0.3311128820008874
1097614800,1.5475,1.55735,1.5475,1.55735,0,NaN,0,0,NaN,1.57902793298117,0.06583070948980356
1097787600,1.55735,1.5706,1.55735,1.5706,0,NaN,0,0,NaN,1.5780615021483235,-0.09862126328949258
1098133200,1.5706,1.5747,1.5678,1.5678,0,NaN,0,0,NaN,1.5775324362391867,-0.14109136192283125
1098306000,1.5678,1.5688,1.56495,1.56495,0,NaN,0,0,NaN,1.5767099882392492,-0.20970536244234886
1098651600,1.56475,1.56475,1.564,1.5641,0,NaN,0,0,NaN,1.575736594295439,-0.6065940578186187
1098824400,1.5641,1.5641,1.5582,1.5586,0,NaN,0,0,NaN,1.574403830412668,-0.6070149790546947
1098997200,1.5586,1.56035,1.55845,1.5594,0,NaN,0,0,NaN,1.573214339415923,-0.6596719223535054
1099346400,1.5594,1.5594,1.55,1.55,0,NaN,0,0,NaN,1.5717269622982049,-0.6676219009895678
1099519200,1.55,1.554,1.55,1.55295,0,NaN,0,0,NaN,1.5703226976078393,-0.5651177465709296
1099864800,1.54955,1.54955,1.5423,1.548,0,NaN,0,0,NaN,1.5683914636510659,-0.4974609075316556
1100037600,1.548,1.548,1.53965,1.5432,0,NaN,0,0,NaN,1.5663206475302611,-0.41531373624731494
1100210400,1.5432,1.5542,1.5432,1.5542,0,NaN,0,0,NaN,1.5651456265744548,-0.2867173085090286
1100556000,1.5542,1.5549,1.5495,1.5549,0,NaN,0,0,NaN,1.5641543442542354,-0.15650007052813145
1100728800,1.5549,1.5633,1.55405,1.55405,0,NaN,0,0,NaN,1.5637259056341482,-0.15192291939226818
1101074400,1.55575,1.55575,1.5476,1.5515,0,NaN,0,0,NaN,1.56263886944544,-0.16608109855198175
1101247200,1.5515,1.55975,1.5515,1.55975,0,NaN,0,0,NaN,1.562260371218186,-0.11524437884778989
1101420000,1.55975,1.5744,1.55975,1.5744,0,NaN,0,0,NaN,1.5627774899249767,0.05736762562743157
1101765600,1.5744,1.5772,1.5744,1.5772,0,NaN,0,0,NaN,1.563871416112983,-0.006244789168429714
1101938400,1.5772,1.60395,1.5772,1.60395,0,NaN,0,0,NaN,1.566227900840935,0.2202480341680826
1102284000,1.60175,1.622,1.60175,1.622,0,NaN,0,0,NaN,1.5700341368393254,0.3940084781162342
1102456800,1.622,1.6253,1.6213,1.6253,0,NaN,0,0,NaN,1.5741330113614842,0.2982549195817403
1102629600,1.6253,1.63405,1.61895,1.63405,0,NaN,0,0,NaN,1.5782315879580635,0.38396266614263724
1102975200,1.63405,1.6436,1.63405,1.6419,0,NaN,0,0,NaN,1.5831913274461016,0.46874850967759396
