<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.01.02	00:00:00	1.05158	1.05275	1.04553	1.04862	25260	15474214000	0
2017.01.02	12:00:00	1.04864	1.04890	1.04480	1.04539	51852	46070701000	7
2017.01.03	00:00:00	1.04535	1.04900	1.03401	1.04014	152097	53418938000	0
2017.01.03	12:00:00	1.04014	1.04336	1.03399	1.04029	81313	70766528000	7
2017.01.04	00:00:00	1.04042	1.05013	1.03895	1.04375	152852	51844474000	0
2017.01.04	12:00:00	1.04374	1.04996	1.04230	1.04892	78436	68471012000	7
2017.01.05	00:00:00	1.04873	1.06152	1.04804	1.05044	194683	63883461000	0
2017.01.05	12:00:00	1.05043	1.06149	1.04820	1.06058	90721	75844079000	7
2017.01.06	00:00:00	1.06023	1.06196	1.05249	1.06003	159582	52109527000	0
2017.01.06	12:00:00	1.06004	1.06207	1.05247	1.05307	85033	65732936000	7
2017.01.08	00:00:00	1.05309	1.05359	1.05259	1.05294	3047	0	0
2017.01.09	00:00:00	1.05299	1.05890	1.05108	1.05238	141230	43213968000	0
2017.01.09	12:00:00	1.05237	1.05826	1.05104	1.05704	73303	57092609000	7
2017.01.10	00:00:00	1.05735	1.06269	1.05508	1.05961	174226	54394106000	0
2017.01.10	12:00:00	1.05963	1.06046	1.05506	1.05538	73911	59873436000	7
2017.01.11	00:00:00	1.05535	1.06230	1.04536	1.05348	174538	46186157000	0
2017.01.11	12:00:00	1.05349	1.06226	1.04534	1.05814	125176	100554021000	7
2017.01.12	00:00:00	1.05794	1.06847	1.05710	1.06406	208393	63938839000	0
2017.01.12	12:00:00	1.06405	1.06844	1.06103	1.06120	99958	74467342000	7
2017.01.13	00:00:00	1.06119	1.06735	1.05962	1.06439	150294	43377941000	0
2017.01.13	12:00:00	1.06439	1.06730	1.05959	1.06389	84238	60304155000	7
2017.01.15	00:00:00	1.06241	1.06357	1.06129	1.06274	4281	0	0
2017.01.16	00:00:00	1.06276	1.06355	1.05791	1.05896	143024	48761461000	0
2017.01.16	12:00:00	1.05895	1.06084	1.05789	1.06019	56132	43076164000	7
2017.01.17	00:00:00	1.06004	1.07191	1.05966	1.06779	183927	52537330000	0
2017.01.17	12:00:00	1.06777	1.07190	1.06573	1.07119	105724	82973822000	7
2017.01.18	00:00:00	1.07105	1.07150	1.06243	1.06951	160937	46652483000	0
2017.01.18	12:00:00	1.06952	1.07026	1.06287	1.06289	86647	72780982000	7
2017.01.19	00:00:00	1.06284	1.06766	1.05892	1.06604	177767	53624747000	0
2017.01.19	12:00:00	1.06604	1.06763	1.05888	1.06627	103621	81224573000	7
2017.01.20	00:00:00	1.06622	1.07094	1.06251	1.06460	170364	52508472000	0
2017.01.20	12:00:00	1.06458	1.07090	1.06248	1.07038	99009	91565717000	7
2017.01.22	00:00:00	1.06895	1.07166	1.06895	1.07126	5170	0	0
2017.01.23	00:00:00	1.06930	1.07721	1.06930	1.07254	177507	60048558000	0
2017.01.23	12:00:00	1.07260	1.07688	1.07059	1.07673	87811	72539451000	7
2017.01.24	00:00:00	1.07647	1.07749	1.07203	1.07401	167544	59016162000	0
2017.01.24	12:00:00	1.07404	1.07745	1.07199	1.07313	75462	64765434000	7
2017.01.25	00:00:00	1.07283	1.07698	1.07109	1.07495	157885	51272231000	0
2017.01.25	12:00:00	1.07494	1.07694	1.07196	1.07465	78836	68837516000	7
2017.01.26	00:00:00	1.07527	1.07656	1.06576	1.07208	158789	54954830000	0
2017.01.26	12:00:00	1.07206	1.07330	1.06572	1.06714	88455	73825402000	7
2017.01.27	00:00:00	1.06792	1.07249	1.06579	1.06928	143184	50176720000	0
2017.01.27	12:00:00	1.06925	1.07247	1.06704	1.06964	73602	62838046000	7
2017.01.29	00:00:00	1.07140	1.07201	1.07079	1.07170	4324	0	0
2017.01.30	00:00:00	1.07145	1.07402	1.06202	1.06952	146329	44957135000	0
2017.01.30	12:00:00	1.06952	1.07090	1.06200	1.06936	79329	65252498000	7
2017.01.31	00:00:00	1.06935	1.08123	1.06843	1.07111	183681	62411550000	0
2017.01.31	12:00:00	1.07113	1.08120	1.06990	1.07966	101398	88614113000	7
2017.02.01	00:00:00	1.07960	1.08073	1.07294	1.07842	158350	50800650000	0
2017.02.01	12:00:00	1.07842	1.08070	1.07298	1.07681	92048	83098650000	7
2017.02.02	00:00:00	1.07677	1.08287	1.07559	1.08148	169731	58098777000	0
2017.02.02	12:00:00	1.08148	1.08284	1.07556	1.07577	85113	73728443000	7
2017.02.03	00:00:00	1.07593	1.07976	1.07126	1.07412	150782	50305900000	0
2017.02.03	12:00:00	1.07412	1.07973	1.07106	1.07849	80777	68711306000	7
2017.02.05	00:00:00	1.07897	1.07907	1.07780	1.07824	2051	0	0
2017.02.06	00:00:00	1.07896	1.07901	1.07057	1.07461	138288	40206397000	0
2017.02.06	12:00:00	1.07461	1.07547	1.07053	1.07508	79117	74993943000	7
2017.02.07	00:00:00	1.07448	1.07490	1.06558	1.06594	157956	55697537000	0
2017.02.07	12:00:00	1.06594	1.07058	1.06572	1.06780	66402	56219376000	7
2017.02.08	00:00:00	1.06763	1.07138	1.06402	1.06440	151000	47450811000	0
2017.02.08	12:00:00	1.06441	1.07138	1.06412	1.06962	74654	60951213000	7
2017.02.09	00:00:00	1.06972	1.07094	1.06509	1.07017	142935	44130407000	0
2017.02.09	12:00:00	1.07015	1.07016	1.06505	1.06555	70712	56398399000	7
2017.02.10	00:00:00	1.06547	1.06675	1.06076	1.06417	143229	45597823000	0
2017.02.10	12:00:00	1.06416	1.06525	1.06072	1.06380	75487	68384132000	7
2017.02.12	00:00:00	1.06294	1.06367	1.06175	1.06188	3075	0	0
2017.02.13	00:00:00	1.06347	1.06584	1.05918	1.06370	128439	45747054000	0
2017.02.13	12:00:00	1.06369	1.06466	1.05917	1.05965	61684	60722160000	7
2017.02.14	00:00:00	1.05976	1.06333	1.05609	1.06170	128891	38532087000	0
2017.02.14	12:00:00	1.06169	1.06331	1.05607	1.05769	76248	64530498000	7
2017.02.15	00:00:00	1.05777	1.06093	1.05213	1.05553	136418	48212561000	0
2017.02.15	12:00:00	1.05549	1.06090	1.05210	1.05984	78053	67510824000	7
2017.02.16	00:00:00	1.06007	1.06792	1.05906	1.06393	136809	48205528000	0
2017.02.16	12:00:00	1.06393	1.06790	1.06240	1.06747	77104	67958651000	7
2017.02.17	00:00:00	1.06719	1.06765	1.06053	1.06431	123174	44855921000	0
2017.02.17	12:00:00	1.06430	1.06668	1.06051	1.06105	69601	59488223000	7
2017.02.19	00:00:00	1.06064	1.06328	1.06038	1.06250	3757	0	0
2017.02.20	00:00:00	1.06073	1.06326	1.06029	1.06221	105611	46462350000	0
2017.02.20	12:00:00	1.06221	1.06284	1.06068	1.06105	44617	38338140000	7
2017.02.21	00:00:00	1.06097	1.06149	1.05257	1.05422	126486	46575443000	0
2017.02.21	12:00:00	1.05422	1.05518	1.05255	1.05351	63437	53790271000	7
2017.02.22	00:00:00	1.05395	1.05738	1.04936	1.05085	136390	44133742000	0
2017.02.22	12:00:00	1.05086	1.05737	1.04933	1.05581	78638	64973673000	7
2017.02.23	00:00:00	1.05587	1.05950	1.05375	1.05462	122105	40598470000	0
2017.02.23	12:00:00	1.05463	1.05949	1.05373	1.05786	66570	53780750000	7
2017.02.24	00:00:00	1.05786	1.06178	1.05567	1.05931	117970	39634066000	0
2017.02.24	12:00:00	1.05929	1.06176	1.05562	1.05569	69530	60098871000	7
2017.02.26	00:00:00	1.05608	1.05645	1.05517	1.05520	3876	0	0
2017.02.27	00:00:00	1.05626	1.06306	1.05511	1.05857	122732	43422668000	0
2017.02.27	12:00:00	1.05856	1.06304	1.05777	1.05855	63253	53777959000	7
2017.02.28	00:00:00	1.05877	1.06302	1.05667	1.05886	130856	42471198000	0
2017.02.28	12:00:00	1.05888	1.06298	1.05707	1.05777	72908	62552859000	7
2017.03.01	00:00:00	1.05739	1.05891	1.05141	1.05395	168566	63239562000	0
2017.03.01	12:00:00	1.05395	1.05714	1.05138	1.05446	74888	63281722000	7
2017.03.02	00:00:00	1.05459	1.05512	1.04950	1.05254	125152	42341463000	0
2017.03.02	12:00:00	1.05255	1.05329	1.04946	1.05068	70823	62212495000	7
2017.03.03	00:00:00	1.05015	1.06238	1.05015	1.05165	128779	47316245000	0
2017.03.03	12:00:00	1.05165	1.06236	1.05154	1.06187	84593	77890727000	7
2017.03.05	00:00:00	1.06074	1.06214	1.06004	1.06206	3725	0	0
2017.03.06	00:00:00	1.06070	1.06397	1.05747	1.06017	118335	49243680000	0
2017.03.06	12:00:00	1.06017	1.06076	1.05745	1.05816	58187	54618564000	7
2017.03.07	00:00:00	1.05825	1.06026	1.05582	1.05630	104700	42468523000	0
2017.03.07	12:00:00	1.05631	1.05884	1.05580	1.05664	56604	52024544000	7
2017.03.08	00:00:00	1.05657	1.05740	1.05348	1.05554	111422	41985768000	0
2017.03.08	12:00:00	1.05554	1.05621	1.05345	1.05396	69405	64863941000	7
2017.03.09	00:00:00	1.05388	1.06151	1.05247	1.05583	133050	48201860000	0
2017.03.09	12:00:00	1.05583	1.06151	1.05419	1.05758	88986	75723394000	7
2017.03.10	00:00:00	1.05756	1.06992	1.05721	1.06135	123174	40684226000	0
2017.03.10	12:00:00	1.06134	1.06988	1.05958	1.06697	88382	78192713000	7
2017.03.12	00:00:00	1.06768	1.06883	1.06768	1.06790	1661	0	0
2017.03.13	00:00:00	1.06832	1.07143	1.06520	1.06648	132669	49548903000	0
2017.03.13	12:00:00	1.06648	1.06788	1.06519	1.06533	66198	61697872000	7
2017.03.14	00:00:00	1.06540	1.06625	1.06000	1.06389	112898	43654111000	0
2017.03.14	12:00:00	1.06390	1.06464	1.05995	1.06078	66352	62006488000	7
2017.03.15	00:00:00	1.06051	1.07400	1.06042	1.06259	121696	40588454000	0
2017.03.15	12:00:00	1.06262	1.07397	1.06070	1.07344	85287	71217357000	7
2017.03.16	00:00:00	1.07340	1.07743	1.07053	1.07109	147566	53142613000	0
2017.03.16	12:00:00	1.07114	1.07737	1.07071	1.07730	76917	67129753000	7
2017.03.17	00:00:00	1.07720	1.07823	1.07274	1.07747	109534	37897012000	0
2017.03.17	12:00:00	1.07747	1.07757	1.07272	1.07362	70714	66061180000	7
2017.03.19	00:00:00	1.07371	1.07447	1.07341	1.07416	1387	0	0
2017.03.20	00:00:00	1.07373	1.07773	1.07251	1.07548	96253	35223024000	0
2017.03.20	12:00:00	1.07547	1.07620	1.07249	1.07391	56348	49041099000	7
2017.03.21	00:00:00	1.07368	1.08191	1.07189	1.07920	132877	46250071000	0
2017.03.21	12:00:00	1.07916	1.08190	1.07904	1.08066	76221	69597561000	7
2017.03.22	00:00:00	1.08074	1.08246	1.07755	1.07850	130468	47708666000	0
2017.03.22	12:00:00	1.07850	1.08245	1.07828	1.07927	72865	62359247000	7
2017.03.23	00:00:00	1.07948	1.08048	1.07679	1.07710	113191	39589009000	0
2017.03.23	12:00:00	1.07709	1.07944	1.07677	1.07817	76027	68052302000	7
2017.03.24	00:00:00	1.07816	1.08179	1.07600	1.08038	111393	40208212000	0
2017.03.24	12:00:00	1.08039	1.08178	1.07902	1.07957	66100	59795615000	7
2017.03.26	00:00:00	1.08265	1.08484	1.08265	1.08481	3131	0	0
2017.03.27	00:00:00	1.08292	1.09058	1.08266	1.08592	117571	43012400000	0
2017.03.27	12:00:00	1.08593	1.09057	1.08533	1.08658	63180	54518446000	7
2017.03.28	00:00:00	1.08633	1.08725	1.07989	1.08586	96958	36945426000	0
2017.03.28	12:00:00	1.08587	1.08717	1.07985	1.08089	62375	59048152000	7
2017.03.29	00:00:00	1.08114	1.08264	1.07398	1.07878	115538	43506261000	0
2017.03.29	12:00:00	1.07879	1.07942	1.07396	1.07642	64047	56738025000	7
2017.03.30	00:00:00	1.07656	1.07695	1.06718	1.07326	106457	40357397000	0
2017.03.30	12:00:00	1.07326	1.07530	1.06728	1.06728	67758	65915318000	7
2017.03.31	00:00:00	1.06758	1.07019	1.06515	1.06941	111260	42128237000	0
2017.03.31	12:00:00	1.06940	1.07017	1.06513	1.06576	66842	63352272000	7
2017.04.02	00:00:00	1.06607	1.06717	1.06594	1.06713	1769	0	0
2017.04.03	00:00:00	1.06617	1.06810	1.06423	1.06713	93441	37732346000	0
2017.04.03	12:00:00	1.06712	1.06794	1.06421	1.06727	57691	56649531000	7
2017.04.04	00:00:00	1.06691	1.06853	1.06357	1.06606	90010	34404508000	0
2017.04.04	12:00:00	1.06605	1.06770	1.06354	1.06750	54053	51483614000	7
2017.04.05	00:00:00	1.06722	1.06890	1.06348	1.06736	98201	32203402000	0
2017.04.05	12:00:00	1.06737	1.06855	1.06345	1.06638	66460	60621508000	7
2017.04.06	00:00:00	1.06634	1.06840	1.06287	1.06577	106938	45397053000	0
2017.04.06	12:00:00	1.06577	1.06752	1.06379	1.06427	54496	51575938000	7
2017.04.07	00:00:00	1.06437	1.06655	1.05805	1.06318	121306	46562154000	0
2017.04.07	12:00:00	1.06318	1.06664	1.05804	1.05912	73061	67609466000	7
2017.04.09	00:00:00	1.05884	1.05890	1.05781	1.05789	2639	0	0
2017.04.10	00:00:00	1.05881	1.06066	1.05698	1.05860	87006	34111744000	0
2017.04.10	12:00:00	1.05861	1.06063	1.05695	1.05945	48651	44680812000	7
2017.04.11	00:00:00	1.05951	1.06299	1.05783	1.06006	91472	32086901000	0
2017.04.11	12:00:00	1.06005	1.06299	1.05989	1.06053	56025	53689288000	7
2017.04.12	00:00:00	1.06058	1.06751	1.05890	1.06185	97739	32965103000	0
2017.04.12	12:00:00	1.06185	1.06749	1.05886	1.06655	61360	54999914000	7
2017.04.13	00:00:00	1.06628	1.06776	1.06090	1.06421	100831	40927054000	0
2017.04.13	12:00:00	1.06421	1.06471	1.06089	1.06119	54300	54746043000	7
2017.04.14	00:00:00	1.06153	1.06297	1.06056	1.06225	54348	22621663000	0
2017.04.14	12:00:00	1.06225	1.06294	1.06082	1.06097	27601	22357927000	7
2017.04.16	00:00:00	1.06159	1.06160	1.06027	1.06048	4291	0	0
2017.04.17	00:00:00	1.06112	1.06702	1.06025	1.06251	70867	32544698000	0
2017.04.17	12:00:00	1.06250	1.06701	1.06185	1.06433	34041	34710083000	7
2017.04.18	00:00:00	1.06487	1.07359	1.06365	1.06504	100649	38339038000	0
2017.04.18	12:00:00	1.06504	1.07357	1.06476	1.07297	68739	65240893000	7
2017.04.19	00:00:00	1.07284	1.07367	1.06999	1.07152	90496	33098910000	0
2017.04.19	12:00:00	1.07151	1.07295	1.06995	1.07104	54171	53986118000	7
