time,open,high,low,close,Zero Line,Sym1 Diff,Sym2 Diff,Sym3 Diff,Correlation
1020373200,2.33145,2.34295,2.33145,2.34295,0,NaN,0,0,NaN
1020891600,2.34295,2.34295,2.32465,2.34135,0,NaN,0,0,NaN
1021410000,2.34135,2.34135,2.3006,2.3006,0,NaN,0,0,NaN
1021928400,2.3006,2.3026,2.2894,2.2965,0,NaN,0,0,NaN
1022446800,2.3061,2.3061,2.2888,2.2888,0,NaN,0,0,NaN
1022792400,2.2888,2.2888,2.2833,2.2849,0,NaN,0,0,NaN
1023310800,2.2849,2.2889,2.2725,2.2889,0,NaN,0,0,NaN
1023829200,2.2889,2.3125,2.2889,2.3125,0,NaN,0,0,NaN
1024347600,2.3125,2.3125,2.2618,2.2618,0,NaN,0,0,NaN
1024866000,2.2621,2.2831,2.2611,2.2752,0,NaN,0,0,NaN
1025211600,2.2752,2.2838,2.2704,2.281,0,NaN,0,0,NaN
1025730000,2.281,2.2956,2.281,2.2956,0,NaN,0,0,NaN
1026248400,2.2956,2.3056,2.2943,2.2943,0,NaN,0,0,NaN
1026766800,2.2943,2.2943,2.2755,2.2755,0,NaN,0,0,NaN
1027285200,2.2745,2.2965,2.2745,2.2802,0,NaN,0,0,NaN
1027630800,2.2802,2.3326,2.2802,2.3233,0,NaN,0,0,NaN
1028149200,2.3233,2.3233,2.2981,2.3206,0,NaN,0,0,NaN
1028667600,2.3206,2.3206,2.2879,2.2879,0,NaN,0,0,NaN
1029186000,2.2879,2.29335,2.2841,2.2913,0,NaN,0,0,NaN
1029704400,2.2931,2.31205,2.29275,2.31205,0,NaN,0,0,NaN
1030050000,2.31205,2.31205,2.29005,2.30415,0,NaN,0,0,NaN
1030568400,2.30415,2.3227,2.3012,2.3012,0,NaN,0,0,NaN
1031086800,2.3012,2.31805,2.3012,2.31805,0,NaN,0,0,NaN
1031605200,2.31805,2.3439,2.31805,2.3439,0,NaN,0,0,NaN
1032123600,2.3443,2.3443,2.30615,2.30615,0,NaN,0,0,NaN
1032469200,2.30615,2.33535,2.30615,2.33535,0,NaN,0,0,NaN
1032987600,2.33535,2.34095,2.31405,2.32995,0,NaN,0,0,NaN
1033506000,2.32995,2.3374,2.32015,2.3311,0,NaN,0,0,NaN
1034024400,2.3311,2.3311,2.31405,2.3153,0,NaN,0,0,NaN
1034542800,2.3143,2.34445,2.30745,2.34445,0,NaN,0,0,NaN
1034888400,2.34445,2.34445,2.32215,2.32825,0,NaN,0,0,NaN
1035406800,2.32825,2.33195,2.31985,2.31985,0,NaN,0,0,NaN
1035928800,2.31985,2.31985,2.28345,2.28345,0,NaN,0,0,NaN
1036447200,2.28345,2.2956,2.28195,2.2956,0,NaN,0,0,NaN
1036965600,2.2963,2.3094,2.295,2.3065,0,NaN,0,0,NaN
1037311200,2.3065,2.31325,2.2942,2.30595,0,NaN,0,0,NaN
1037829600,2.30595,2.3334,2.302,2.302,0,NaN,0,0,NaN
1038348000,2.302,2.3097,2.30175,2.30175,0,NaN,0,0,NaN
1038866400,2.30175,2.31815,2.2965,2.2965,0,NaN,0,0,NaN
1039384800,2.2981,2.30485,2.29385,2.29385,0,NaN,0,0,NaN
1039730400,2.29385,2.29655,2.27875,2.28195,0,NaN,0,0,NaN
1040248800,2.28195,2.2828,2.24745,2.24745,0,NaN,0,0,NaN
1040767200,2.24745,2.24745,2.2298,2.2344,0,NaN,0,0,NaN
1041372000,2.2344,2.2513,2.2281,2.2384,0,NaN,0,0,NaN
1041890400,2.2384,2.2458,2.2193,2.2193,0,NaN,0,0,NaN
1042408800,2.2171,2.2254,2.2145,2.2145,0,NaN,0,0,NaN
1042754400,2.2145,2.2145,2.1994,2.2079,0,NaN,0,0,NaN
1043272800,2.2079,2.2262,2.2079,2.2262,0,NaN,0,0,NaN
1043791200,2.2262,2.2465,2.2262,2.2375,0,NaN,0,0,NaN
1044309600,2.2375,2.2375,2.2103,2.2103,0,NaN,0,0,NaN
1044828000,2.2137,2.2219,2.1942,2.1942,0,NaN,0,0,NaN
1045173600,2.1942,2.2009,2.1845,2.1845,0,NaN,0,0,NaN
1045692000,2.1845,2.1845,2.1368,2.1368,0,NaN,0,0,NaN
1046210400,2.1368,2.1488,2.1118,2.1118,0,NaN,0,0,NaN
1046728800,2.1118,2.1407,2.1118,2.1407,0,NaN,0,0,NaN
1047247200,2.1415,2.1751,2.1228,2.1751,0,NaN,0,0,NaN
1047592800,2.1751,2.1807,2.1612,2.1807,0,NaN,0,0,NaN
1048111200,2.1807,2.1922,2.1712,2.1744,0,NaN,0,0,NaN
1048629600,2.1744,2.1763,2.1381,2.1381,0,NaN,0,0,NaN
1049148000,2.1381,2.16785,2.1363,2.1625,0,NaN,0,0,NaN
1049662800,2.1674,2.1817,2.15645,2.1817,0,NaN,0,0,NaN
1050008400,2.1817,2.1883,2.1665,2.1665,0,NaN,0,0,NaN
1050526800,2.1665,2.1708,2.1633,2.1633,0,NaN,0,0,NaN
1051045200,2.1633,2.1805,2.1633,2.1782,0,NaN,0,0,NaN
1051563600,2.1782,2.1782,2.1565,2.1565,0,NaN,0,0,NaN
1052082000,2.1565,2.1565,2.1036,2.1036,0,NaN,0,0,NaN
1052427600,2.1036,2.1302,2.1036,2.1302,0,NaN,0,0,NaN
1052946000,2.1302,2.1489,2.1109,2.1202,0,NaN,0,0,NaN
1053464400,2.1202,2.1272,2.107,2.1078,0,NaN,0,0,NaN
1053982800,2.1078,2.1258,2.1078,2.1234,0,NaN,0,0,NaN
1054501200,2.1238,2.1594,2.1238,2.1594,0,NaN,0,0,NaN
1054846800,2.1594,2.1924,2.1594,2.1806,0,NaN,0,0,NaN
1055365200,2.1806,2.2052,2.1704,2.2052,0,NaN,0,0,NaN
1055883600,2.2052,2.2195,2.2052,2.2084,0,NaN,0,0,NaN
1056402000,2.2084,2.2445,2.2084,2.2275,0,NaN,0,0,NaN
1056920400,2.2267,2.2506,2.2267,2.2506,0,NaN,0,0,NaN
1057266000,2.2506,2.2649,2.2285,2.2285,0,NaN,0,0,NaN
1057784400,2.2285,2.2441,2.2058,2.2058,0,NaN,0,0,NaN
1058302800,2.2058,2.2058,2.152,2.1667,0,NaN,0,0,NaN
1058821200,2.1667,2.1796,2.1636,2.1796,0,NaN,0,0,NaN
1059339600,2.1808,2.208,2.1808,2.208,0,NaN,0,0,NaN
1059685200,2.208,2.208,2.1701,2.1791,0,NaN,0,0,NaN
1060203600,2.1791,2.1927,2.1791,2.1927,0,NaN,0,0,NaN
1060722000,2.1927,2.2095,2.1883,2.2095,0,NaN,0,0,NaN
1061240400,2.2095,2.2323,2.2042,2.2323,0,NaN,0,0,NaN
1061758800,2.2349,2.2349,2.2154,2.2316,0,NaN,0,0,NaN
1062104400,2.2316,2.2316,2.2002,2.223,0,NaN,0,0,NaN
1062622800,2.223,2.223,2.1927,2.1927,0,NaN,0,0,NaN
1063141200,2.1927,2.216,2.1927,2.2097,0,NaN,0,0,NaN
1063659600,2.2097,2.2398,2.206,2.2388,0,NaN,0,0,NaN
1064178000,2.2404,2.2439,2.2294,2.2294,0,NaN,0,0,NaN
1064523600,2.2294,2.2316,2.1922,2.1922,0,NaN,0,0,NaN
1065042000,2.1922,2.2245,2.1887,2.1887,0,NaN,0,0,NaN
1065560400,2.1887,2.2044,2.1823,2.2044,0,NaN,0,0,NaN
1066078800,2.2044,2.2345,2.2026,2.2294,0,NaN,0,0,NaN
1066597200,2.2246,2.2286,2.2217,2.226,0,NaN,0,0,NaN
1066942800,2.226,2.2614,2.2259,2.2604,0,NaN,0,0,NaN
1067464800,2.2604,2.2876,2.2603,2.2876,0,NaN,0,0,NaN
1067983200,2.2876,2.2971,2.2802,2.2878,0,NaN,0,0,NaN
1068501600,2.2878,2.2878,2.2389,2.2389,0,NaN,-46.57480682986743,35.727478971165,NaN
1069020000,2.2394,2.2407,2.2036,2.2141,0,NaN,-46.45930880804123,4.345437952115901,NaN
1069365600,2.2141,2.2401,2.211,2.2128,0,NaN,-20.543801915141216,6.245501654852404,NaN
1069884000,2.2128,2.2306,2.2128,2.2283,0,NaN,-17.723083636687868,11.893772260637633,NaN
1070402400,2.2283,2.2283,2.1953,2.1953,0,NaN,-50.74098635849103,-4.968901125028022,NaN
1070920800,2.1953,2.2149,2.1953,2.2034,0,NaN,-48.91274663595976,14.212696826653065,NaN
1071439200,2.22145,2.22145,2.2018,2.2148,0,NaN,-28.99867030545834,7.740517273689001,NaN
1071784800,2.2148,2.2201,2.2136,2.214,0,NaN,-39.47602411633336,4.495284557022877,NaN
1072303200,2.214,2.2211,2.2085,2.2085,0,NaN,-62.626145579785714,15.266208626426199,NaN
1072821600,2.2085,2.20895,2.2085,2.20895,0,NaN,-48.31955696634155,6.357316599370407,NaN
1072908000,2.20895,2.2428,2.20895,2.2428,0,NaN,-32.18408652241125,46.52898936949413,NaN
1073426400,2.2428,2.2682,2.2428,2.2682,0,NaN,-17.852718903528462,79.24415499514764,NaN
1073944800,2.2682,2.2774,2.2548,2.2774,0,NaN,4.6208179175081945,100,NaN
1074463200,2.2783,2.2783,2.2643,2.277,0,NaN,-11.530784931771073,71.82603520799435,NaN
1074808800,2.277,2.2862,2.2664,2.2862,0,NaN,25.03315907160819,63.94679996043317,NaN
