<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.01.02	00:00:00	1.05158	1.05275	1.04553	1.05108	8919	3591762000	0
2017.01.02	08:00:00	1.05108	1.05234	1.04608	1.04654	34612	24705882000	7
2017.01.02	16:00:00	1.04654	1.04774	1.04480	1.04539	33581	33247271000	7
2017.01.03	00:00:00	1.04535	1.04900	1.03401	1.04818	124215	28737602000	0
2017.01.03	08:00:00	1.04818	1.04888	1.03747	1.03910	55952	48526748000	7
2017.01.03	16:00:00	1.03911	1.04336	1.03399	1.04029	53243	46921116000	7
2017.01.04	00:00:00	1.04042	1.05013	1.03895	1.04063	127064	28382577000	0
2017.01.04	08:00:00	1.04062	1.04459	1.03989	1.04387	53466	46141585000	7
2017.01.04	16:00:00	1.04389	1.04996	1.04362	1.04892	50758	45791324000	7
2017.01.05	00:00:00	1.04873	1.06152	1.04804	1.05411	158040	33289522000	0
2017.01.05	08:00:00	1.05411	1.05744	1.04820	1.05302	69403	58707660000	7
2017.01.05	16:00:00	1.05300	1.06149	1.05275	1.06058	57961	47730358000	7
2017.01.06	00:00:00	1.06023	1.06196	1.05249	1.05822	136410	33140975000	0
2017.01.06	08:00:00	1.05822	1.06207	1.05390	1.05435	56201	42228769000	7
2017.01.06	16:00:00	1.05439	1.05826	1.05247	1.05307	52004	42472719000	7
2017.01.08	00:00:00	1.05309	1.05359	1.05259	1.05294	3047	0	0
2017.01.09	00:00:00	1.05299	1.05890	1.05108	1.05237	115015	22385356000	0
2017.01.09	08:00:00	1.05236	1.05557	1.05104	1.05344	56370	42752320000	7
2017.01.09	16:00:00	1.05341	1.05826	1.05243	1.05704	43148	35168901000	7
2017.01.10	00:00:00	1.05735	1.06269	1.05508	1.06092	144450	32926696000	0
2017.01.10	08:00:00	1.06088	1.06198	1.05583	1.05744	57885	42944174000	7
2017.01.10	16:00:00	1.05744	1.06046	1.05506	1.05538	45802	38396672000	7
2017.01.11	00:00:00	1.05535	1.06230	1.04536	1.05494	151273	26827722000	0
2017.01.11	08:00:00	1.05492	1.05665	1.04937	1.05127	50986	41084193000	7
2017.01.11	16:00:00	1.05127	1.06226	1.04534	1.05814	97455	78828263000	7
2017.01.12	00:00:00	1.05794	1.06847	1.05710	1.06107	169568	34012261000	0
2017.01.12	08:00:00	1.06107	1.06844	1.06045	1.06522	75582	56337007000	7
2017.01.12	16:00:00	1.06522	1.06752	1.06103	1.06120	63201	48056913000	7
2017.01.13	00:00:00	1.06119	1.06735	1.05962	1.06168	123495	23866138000	0
2017.01.13	08:00:00	1.06167	1.06730	1.06140	1.06449	57194	41271294000	7
2017.01.13	16:00:00	1.06451	1.06525	1.05959	1.06389	53843	38544664000	7
2017.01.15	00:00:00	1.06241	1.06357	1.06129	1.06274	4281	0	0
2017.01.16	00:00:00	1.06276	1.06355	1.05796	1.06203	113869	26688380000	0
2017.01.16	08:00:00	1.06205	1.06291	1.05789	1.05923	51276	37778134000	7
2017.01.16	16:00:00	1.05923	1.06084	1.05891	1.06019	34011	27371111000	7
2017.01.17	00:00:00	1.06004	1.07191	1.05966	1.06571	150147	26814065000	0
2017.01.17	08:00:00	1.06569	1.07190	1.06399	1.06913	84699	64712208000	7
2017.01.17	16:00:00	1.06915	1.07163	1.06892	1.07119	54805	43984879000	7
2017.01.18	00:00:00	1.07105	1.07150	1.06243	1.06843	134147	24432086000	0
2017.01.18	08:00:00	1.06842	1.07042	1.06551	1.06679	56031	45963778000	7
2017.01.18	16:00:00	1.06680	1.07026	1.06287	1.06289	57406	49037601000	7
2017.01.19	00:00:00	1.06284	1.06766	1.05892	1.06387	148166	29118913000	0
2017.01.19	08:00:00	1.06385	1.06763	1.06025	1.06190	63202	49229951000	7
2017.01.19	16:00:00	1.06189	1.06691	1.05888	1.06627	70020	56500456000	7
2017.01.20	00:00:00	1.06622	1.07094	1.06251	1.06721	141185	26912955000	0
2017.01.20	08:00:00	1.06720	1.06917	1.06248	1.06562	58655	52668122000	7
2017.01.20	16:00:00	1.06561	1.07090	1.06515	1.07038	69533	64493112000	7
