<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.04.05	1.06722	1.06890	1.06345	1.06638	164661	92824910000	0
2017.04.06	1.06634	1.06840	1.06287	1.06427	161434	96972991000	0
2017.04.07	1.06437	1.06664	1.05804	1.05912	194367	114171620000	0
2017.04.09	1.05884	1.05890	1.05781	1.05789	2639	0	0
2017.04.10	1.05881	1.06066	1.05695	1.05945	135657	78792556000	0
2017.04.11	1.05951	1.06299	1.05783	1.06053	147497	85776189000	0
2017.04.12	1.06058	1.06751	1.05886	1.06655	159099	87965017000	0
2017.04.13	1.06628	1.06776	1.06089	1.06119	155131	95673097000	0
2017.04.14	1.06153	1.06297	1.06056	1.06097	81949	44979590000	0
2017.04.16	1.06159	1.06160	1.06027	1.06048	4291	0	0
2017.04.17	1.06112	1.06702	1.06025	1.06433	104908	67254781000	0
2017.04.18	1.06487	1.07359	1.06365	1.07297	169388	103579931000	0
2017.04.19	1.07284	1.07367	1.06995	1.07104	144667	87085028000	0
2017.04.20	1.07089	1.07773	1.07068	1.07150	145225	88205331000	0
2017.04.21	1.07167	1.07379	1.06820	1.07258	142159	85581286000	0
2017.04.23	1.09021	1.09038	1.08697	1.08840	7340	0	0
2017.04.24	1.08987	1.09049	1.08205	1.08661	204746	102962357000	0
2017.04.25	1.08680	1.09501	1.08511	1.09313	161389	89273436000	0
2017.04.26	1.09298	1.09507	1.08554	1.09034	188391	108757882000	0
2017.04.27	1.09027	1.09328	1.08514	1.08732	176723	99317385000	0
2017.04.28	1.08711	1.09471	1.08567	1.08990	168285	92811829000	0
2017.04.30	1.08931	1.09032	1.08900	1.09021	2311	0	0
2017.05.01	1.08912	1.09238	1.08838	1.08997	96968	64450809000	0
2017.05.02	1.08995	1.09331	1.08878	1.09301	143163	83818141000	0
2017.05.03	1.09284	1.09368	1.08813	1.08826	158619	94700181000	0
2017.05.04	1.08860	1.09872	1.08745	1.09823	191342	113191559000	0
2017.05.05	1.09820	1.09989	1.09476	1.09983	176985	96104615000	0
2017.05.07	1.10165	1.10165	1.09852	1.09928	4187	0	0
2017.05.08	1.10155	1.10166	1.09159	1.09215	182171	102193691000	0
2017.05.09	1.09206	1.09334	1.08631	1.08742	180229	113223339000	0
2017.05.10	1.08696	1.08982	1.08530	1.08667	168288	106699123000	0
2017.05.11	1.08675	1.08929	1.08387	1.08609	157470	103056035000	0
2017.05.12	1.08620	1.09343	1.08553	1.09309	153836	97648762000	0
2017.05.14	1.09320	1.09351	1.09236	1.09256	2483	0	0
2017.05.15	1.09324	1.09895	1.09222	1.09747	146034	88723821000	0
2017.05.16	1.09762	1.10972	1.09743	1.10810	185399	109289228000	0
2017.05.17	1.10837	1.11703	1.10792	1.11597	225415	133437147000	0
2017.05.18	1.11593	1.11718	1.10755	1.11039	262506	165261412000	0
2017.05.19	1.11019	1.12118	1.10957	1.12059	184151	114858089000	0
2017.05.21	1.12010	1.12084	1.11981	1.12064	1614	0	0
